Time,Velocity,Altitude,Pressure,Temperature
2020:01:10:11:19:25:798,274.15617,10025.87368,94.17367,-41.74395
2020:01:10:11:19:25:798,251.82545,10028.11261,58.36871,-42.86289
2020:01:10:11:19:25:798,296.91890,10045.81178,51.22596,26.96785
2020:01:10:11:19:25:798,263.25422,10027.41365,43.10446,-21.16608
2020:01:10:11:19:25:798,250.66657,10176.42511,61.38185,-42.08458
2020:01:10:11:19:25:799,299.09772,10129.34046,86.13804,-1.34315
2020:01:10:11:19:25:799,274.49949,10073.78452,91.78467,22.85760
2020:01:10:11:19:25:799,296.16848,10124.14254,89.48364,42.29458
2020:01:10:11:19:25:799,253.42008,10054.17056,95.33446,-48.58491
2020:01:10:11:19:25:799,290.61335,10049.55598,88.82211,-39.81184
2020:01:10:11:19:25:799,253.45425,10088.12499,54.90361,22.37873
2020:01:10:11:19:25:799,286.23341,10081.36993,61.37332,-39.69026
2020:01:10:11:19:25:800,299.19530,10018.19618,70.78379,-26.39700
2020:01:10:11:19:25:800,287.58971,10040.26498,83.21053,46.44040
2020:01:10:11:19:25:800,279.12183,10048.03465,72.53587,35.56290
2020:01:10:11:19:25:800,264.49630,10087.57987,94.68888,29.52551
2020:01:10:11:19:25:800,276.54127,10000.49483,71.41483,18.65221
2020:01:10:11:19:25:800,277.00214,10032.66254,47.65970,4.68553
2020:01:10:11:19:25:800,286.51063,10092.39962,84.54153,9.30139
2020:01:10:11:19:25:800,252.46349,10124.46198,83.14265,11.46047
2020:01:10:11:19:25:800,291.58589,10023.62358,76.99308,-45.00683
2020:01:10:11:19:25:801,268.80833,10050.01704,43.12740,19.86614
2020:01:10:11:19:25:801,281.75178,10028.15135,42.98393,43.25394
2020:01:10:11:19:25:801,260.59429,10112.49848,95.17694,9.84027
2020:01:10:11:19:25:801,266.38336,10184.76740,62.30924,4.69913
2020:01:10:11:19:25:801,276.96183,10011.46043,63.50417,36.65664
2020:01:10:11:19:25:801,288.59109,10135.03337,63.22278,-4.78934
2020:01:10:11:19:25:801,283.08401,10097.95768,55.19385,-0.11462
2020:01:10:11:19:25:801,264.80078,10006.20920,57.92080,37.32459
2020:01:10:11:19:25:801,259.21462,10027.18479,65.24161,-41.52251
2020:01:10:11:19:25:802,284.92019,10186.77447,71.80421,25.90710
2020:01:10:11:19:25:802,263.93606,10181.29360,99.08203,-40.44814
2020:01:10:11:19:25:802,270.94368,10052.20597,82.69050,28.19696
2020:01:10:11:19:25:802,290.70869,10085.04508,86.27757,-26.53735
2020:01:10:11:19:25:802,254.34657,10188.66798,61.14765,33.29248
2020:01:10:11:19:25:802,259.32306,10086.95193,74.04029,-47.27457
2020:01:10:11:19:25:802,295.12072,10112.27129,98.12163,31.16131
2020:01:10:11:19:25:802,296.35673,10028.56821,64.25819,-42.61993
2020:01:10:11:19:25:802,277.80286,10131.55742,81.02957,26.25094
2020:01:10:11:19:25:803,271.23708,10074.58211,72.69808,14.36848
2020:01:10:11:19:25:803,282.34739,10050.86407,74.49027,15.77823
2020:01:10:11:19:25:803,267.01187,10126.36827,44.05681,3.50540
2020:01:10:11:19:25:803,290.19501,10062.22830,56.86414,-12.22400
2020:01:10:11:19:25:803,277.42889,10091.65579,51.53282,-12.37966
2020:01:10:11:19:25:803,298.38883,10023.48347,78.77431,18.97483
2020:01:10:11:19:25:803,284.42649,10132.96815,84.58976,29.44874
2020:01:10:11:19:25:803,277.08965,10170.20627,64.78076,-22.40184
2020:01:10:11:19:25:803,282.63631,10067.49148,63.58418,-37.14941
2020:01:10:11:19:25:803,268.34165,10159.17016,54.37949,-38.85111
2020:01:10:11:19:25:803,280.00006,10141.02721,74.92907,10.93453
2020:01:10:11:19:25:803,286.44047,10190.96138,73.49843,24.26553
2020:01:10:11:19:25:804,266.10159,10048.68547,55.46517,-31.33444
2020:01:10:11:19:25:804,292.75484,10009.41378,42.66213,-23.27391
2020:01:10:11:19:25:804,252.31610,10124.97542,89.71196,-7.46538
2020:01:10:11:19:25:804,280.35364,10025.51877,82.99699,-43.32230
2020:01:10:11:19:25:804,250.37786,10075.94894,98.67010,-35.13207
2020:01:10:11:19:25:804,266.28974,10063.46665,96.24890,9.17038
2020:01:10:11:19:25:804,268.46813,10076.05358,53.84731,25.35443
2020:01:10:11:19:25:804,251.89233,10076.47547,89.98531,25.07264
2020:01:10:11:19:25:805,266.42469,10102.35143,65.17947,-12.63062
2020:01:10:11:19:25:805,273.91912,10030.06378,94.15337,20.44750
2020:01:10:11:19:25:805,274.17476,10028.75985,66.51892,-18.32783
2020:01:10:11:19:25:805,281.92027,10000.42348,90.16628,-38.53325
2020:01:10:11:19:25:805,289.99262,10052.97046,97.36170,-4.94346
2020:01:10:11:19:25:809,289.66522,10185.54901,88.68947,-35.05838
2020:01:10:11:19:25:809,287.68376,10078.70259,94.48572,-3.46867
2020:01:10:11:19:25:809,260.98438,10176.77914,87.29870,29.54812
2020:01:10:11:19:25:809,274.29685,10125.94745,42.17172,-31.39013
2020:01:10:11:19:25:810,252.87693,10088.40759,74.18181,-22.17496
2020:01:10:11:19:25:810,252.46529,10091.85932,84.67878,-13.71385
2020:01:10:11:19:25:810,251.23647,10193.01874,79.05605,14.02276
2020:01:10:11:19:25:810,253.97990,10034.94988,99.64646,11.27582
2020:01:10:11:19:25:810,297.04603,10160.20479,47.47288,27.88110
2020:01:10:11:19:25:810,273.69410,10005.24207,46.09522,-5.89969
2020:01:10:11:19:25:810,263.39399,10046.32033,49.68210,-0.58590
2020:01:10:11:19:25:810,295.36344,10093.03968,75.69721,1.59199
2020:01:10:11:19:25:811,256.16247,10032.93095,90.22715,-15.21982
2020:01:10:11:19:25:811,263.52082,10018.96886,70.98908,12.39870
2020:01:10:11:19:25:811,273.73983,10161.61182,59.44349,-11.68450
2020:01:10:11:19:25:811,267.98907,10037.94791,89.19888,48.06554
2020:01:10:11:19:25:811,273.60870,10162.75268,83.03199,-49.19117
2020:01:10:11:19:25:811,270.13237,10179.74151,85.35888,32.27233
2020:01:10:11:19:25:811,256.16123,10126.02538,40.87905,9.09600
2020:01:10:11:19:25:811,262.44824,10098.75567,63.37606,-4.19541
2020:01:10:11:19:25:811,288.59309,10010.17031,41.29551,7.05201
2020:01:10:11:19:25:812,265.60136,10055.72968,78.73229,-30.16365
